Date,Year,Month,Day,Hour,PPT(mm),T(C),Ref z
2017-01-01 00:00:00,2017,1,1,0,0.6379014618067558,-16.1729467185001,4047.1531549675274
2017-01-01 01:00:00,2017,1,1,1,0.00777928611959619,-16.401393874186738,4047.1531549675274
2017-01-01 02:00:00,2017,1,1,2,0.016422937363588103,-16.448863413030722,4047.1531549675274
2017-01-01 03:00:00,2017,1,1,3,0.02247349323438591,-15.108590652232749,4047.1531549675274
2017-01-01 04:00:00,2017,1,1,4,0.025930953731982676,-13.918885334955519,4047.1531549675274
2017-01-01 05:00:00,2017,1,1,5,0.03543897010037725,-13.173465232796161,4047.1531549675274
2017-01-01 06:00:00,2017,1,1,6,0.07865722632034375,-12.728438306133853,4047.1531549675274
2017-01-01 07:00:00,2017,1,1,7,0.26536009319061415,-12.4799649387474,4047.1531549675274
2017-01-01 08:00:00,2017,1,1,8,0.5462787586204172,-12.481448361836271,4047.1531549675274
2017-01-01 09:00:00,2017,1,1,9,0.8384341706674132,-12.41617774592578,4047.1531549675274
2017-01-01 10:00:00,2017,1,1,10,0.9922911628105074,-12.40282693812594,4047.1531549675274
2017-01-01 11:00:00,2017,1,1,11,1.0804564054992458,-12.639432920801369,4047.1531549675274
2017-01-01 12:00:00,2017,1,1,12,1.1634354574415888,-13.458282465860009,4047.1531549675274
2017-01-01 13:00:00,2017,1,1,13,1.2567868908767224,-14.422507473628343,4047.1531549675274
2017-01-01 14:00:00,2017,1,1,14,1.3043269727186884,-15.341488077186,4047.1531549675274
2017-01-01 15:00:00,2017,1,1,15,1.310377528589486,-16.015703871079438,4047.1531549675274
2017-01-01 16:00:00,2017,1,1,16,1.3121062588382846,-16.841228820037998,4047.1531549675274
2017-01-01 17:00:00,2017,1,1,17,1.3129706239626837,-17.28699745824474,4047.1531549675274
2017-01-01 18:00:00,2017,1,1,18,1.314699354211482,-17.66452863436325,4047.1531549675274
2017-01-01 19:00:00,2017,1,1,19,1.319021179833478,-16.907241147492925,4047.1531549675274
2017-01-01 20:00:00,2017,1,1,20,1.3250717357042758,-16.777441627216376,4047.1531549675274
