Year,Julian Day,obs_period(days),elevation(m),debris_thickness(cm),melt(cm),PDD
2017,232,17,3868,114,11,186.023187
2017,250,18,3867,114,8,155.2401872
2017,263,13,3867,114,5,110.2329668
2017,273,10,3868,114,7,78.9343983
2017,298,25,3868,114,1,129.2517887
2017,215,12,3887,81.5,5,121.7432441
2017,232,17,3887,81.5,12,184.3341421
2017,250,18,3887,81.5,5,153.1159493
2017,263,13,3887,81.5,3,108.4124112
2017,273,10,3887,81.5,5,77.72284172
2017,298,25,3887,81.5,4,126.6581886
2017,232,17,3881,47,18,184.8675247
2017,250,18,3881,47,15,153.7532207
2017,263,13,3877,54.5,6.5,109.322689
2017,273,10,3878,54.5,6.5,78.29673694
2017,298,25,3877,54.5,7,128.0226149
2017,170,13,3875,46,12,99.79731047
2017,184,14,3875,46,16,133.3178471
2017,203,19,3875,46,22,191.2420761
2017,232,17,3874,35,19,185.4898044
2017,250,18,3874,35,15,154.4967039
2017,273,23,3874,35,17,188.1475738
2017,263,13,3874,50,11.4,109.5957723
2017,273,10,3873,50,8.5,78.61556762
2017,298,25,3873,50,9,128.5684157
2017,170,28,3885,35,22,144.6290116
2017,232,17,3884,54,20,184.6008334
2017,250,18,3884,54,13,153.434585
2017,263,13,3883,63,9.7,108.7765223
2017,273,10,3884,63,10,77.91414013
2017,298,25,3883,63,7,127.2039137
2017,232,17,3896,22,14,183.5340682
2017,250,18,3896,22,11,152.1600422
2017,273,23,3896,22,14,184.7421077
2017,263,13,3895,73.5,7,107.6841889
2017,273,10,3896,73.5,9,77.1489465
2017,298,25,3896,73.5,12,125.4315256
2017,215,13,3936,24,27,128.7447694
2017,232,17,3936,24,39,179.9781841
2017,250,18,3935,24,29,148.0177782
2017,263,13,3935,24,13,104.0430777
2017,273,10,3935,24,6,74.66206721
2017,298,25,3936,24,23,119.9960599
2017,170,13,3942,5,17,94.35855505
2017,184,14,3941,5,23,128.0381251
2017,215,13,3933,24,18,128.9317839
2017,232,17,3933,24,31,180.2448754
2017,250,18,3932,24,23,148.3364139
2017,263,13,3932,24,10,104.3161611
2017,273,10,3931,24,8,74.91713176
2017,298,25,3931,24,9,120.6736235
2017,298,25,3941,62.5,8,119.3184963
2017,170,13,3950,10,42,93.70915142
2017,184,14,3951,10,21,127.2381672
2017,202,18,3951,10,36,174.3118276
2017,215,13,3950,10,19,127.8720353
2017,232,17,3950,10,41,178.7336247
2017,250,18,3949,10,26,146.5308116
2017,263,13,3949,10,12,102.7686888
2017,273,10,3950,10,12,73.70557518
2017,298,25,3950,10,17,118.0996079
2017,170,13,3947,55,7,93.95267778
2017,184,14,3946,55,3,127.6381462
2017,202,18,3946,55,5,174.7601573
2017,298,25,3945,67.5,8.5,118.7764454
